iter	Passed	Remaining
706	7509	3111
707	7522	3102
708	7536	3093
709	7548	3083
710	7560	3072
711	7572	3063
712	7587	3053
713	7599	3043
714	7609	3033
715	7620	3022
716	7630	3011
717	7639	3000
718	7650	2989
719	7660	2978
720	7669	2967
721	7679	2956
722	7689	2946
723	7700	2935
724	7709	2924
725	7719	2913
726	7729	2902
727	7738	2891
728	7749	2880
729	7761	2870
730	7771	2859
731	7782	2849
732	7794	2839
733	7806	2829
734	7817	2818
735	7827	2807
736	7840	2797
737	7851	2787
738	7865	2777
739	7877	2767
740	7891	2758
741	7905	2748
742	7916	2738
743	7929	2728
744	7941	2718
745	7955	2708
746	7967	2698
747	7980	2688
748	7991	2678
749	8002	2667
750	8011	2656
751	8021	2645
752	8032	2634
753	8043	2624
754	8052	2613
755	8062	2602
756	8072	2591
757	8082	2580
758	8092	2569
759	8102	2558
760	8112	2547
761	8122	2536
762	8132	2526
763	8143	2515
764	8153	2504
765	8163	2493
766	8173	2482
767	8183	2472
768	8193	2461
769	8203	2450
770	8217	2440
771	8227	2429
772	8238	2419
773	8249	2408
774	8260	2398
775	8272	2387
776	8283	2377
777	8295	2367
778	8305	2356
779	8317	2345
780	8328	2335
781	8339	2324
782	8351	2314
783	8372	2306
784	8386	2296
785	8399	2286
786	8410	2276
787	8425	2266
788	8436	2256
789	8451	2246
790	8461	2235
791	8473	2225
792	8484	2214
793	8495	2204
794	8506	2193
795	8516	2182
796	8525	2171
797	8535	2160
798	8546	2149
799	8556	2139
800	8568	2128
801	8577	2117
802	8588	2107
803	8598	2096
804	8608	2085
805	8618	2074
806	8628	2063
807	8639	2052
808	8649	2042
809	8659	2031
810	8669	2020
811	8680	2009
812	8689	1998
813	8700	1987
814	8710	1977
815	8721	1966
816	8732	1955
817	8743	1945
818	8754	1934
819	8765	1924
820	8776	1913
821	8788	1903
822	8800	1892
823	8811	1882
824	8822	1871
825	8835	1861
826	8846	1850
827	8858	1840
828	8869	1829
829	8879	1818
830	8888	1807
831	8897	1796
832	8907	1785
833	8918	1775
834	8927	1764
835	8938	1753
836	8947	1742
837	8956	1731
838	8966	1720
839	8977	1709
840	8986	1699
841	8997	1688
842	9007	1677
843	9017	1666
844	9026	1655
845	9036	1644
846	9046	1634
847	9056	1623
848	9066	1612
849	9075	1601
850	9085	1590
851	9096	1580
852	9105	1569
853	9115	1558
854	9125	1547
855	9135	1536
856	9146	1526
857	9157	1515
858	9166	1504
859	9178	1494
860	9188	1483
861	9202	1473
862	9213	1462
863	9224	1451
864	9235	1441
865	9246	1430
866	9258	1420
867	9269	1409
868	9281	1399
869	9292	1388
870	9303	1377
871	9314	1367
872	9325	1356
873	9338	1346
874	9351	1335
875	9362	1325
876	9372	1314
877	9382	1303
878	9392	1292
879	9402	1282
880	9413	1271
881	9423	1260
882	9433	1249
883	9443	1239
884	9453	1228
885	9463	1217
886	9473	1206
887	9484	1196
888	9494	1185
889	9504	1174
890	9514	1163
891	9523	1153
892	9537	1142
893	9549	1132
894	9560	1121
895	9573	1111
896	9586	1100
897	9597	1090
898	9608	1079
899	9620	1068
900	9632	1058
901	9642	1047
902	9652	1036
903	9662	1026
904	9672	1015
905	9681	1004
906	9692	993
907	9703	983
908	9715	972
909	9727	962
910	9741	951
911	9752	940
912	9762	930
913	9773	919
914	9783	908
915	9793	898
916	9805	887
917	9818	877
918	9829	866
919	9841	855
920	9851	845
921	9861	834
922	9872	823
923	9882	812
924	9893	802
925	9902	791
926	9912	780
927	9921	769
928	9931	759
929	9942	748
930	9955	737
931	9969	727
932	9981	716
933	9995	706
934	10007	695
935	10020	685
936	10034	674
937	10048	664
938	10063	653
939	10077	643
940	10090	632
941	10109	622
942	10123	611
943	10136	601
944	10152	590
945	10165	580
946	10178	569
947	10194	559
948	10210	548
949	10228	538
950	10251	528
951	10270	517
952	10290	507
953	10310	497
954	10327	486
955	10342	476
956	10356	465
957	10368	454
958	10380	443
959	10393	433
960	10404	422
961	10414	411
962	10425	400
963	10435	389
964	10446	378
965	10457	368
966	10471	357
967	10484	346
968	10497	335
969	10510	325
970	10529	314
971	10547	303
972	10561	293
973	10577	282
974	10592	271
975	10606	260
976	10619	250
977	10630	239
978	10640	228
979	10650	217
980	10661	206
981	10671	195
982	10681	184
983	10690	173
984	10700	162
985	10710	152
986	10720	141
987	10730	130
988	10739	119
989	10749	108
990	10759	97
991	10768	86
992	10779	75
993	10791	65
994	10805	54
995	10819	43
996	10833	32
997	10850	21
998	10864	10
999	10880	0
